Name,Full Name,Sector,Industry
XPES,Reksa Dana Syariah KIK Pinnacle Enhanced Sharia ETF,FINANCE,Investment Fund/Mutual Fund
XPFT,Reksa Dana Indeks Pinnacle FTSE Indonesia ETF,FINANCE,Investment Fund/Mutual Fund
XPID,Reksa Dana Indeks Pinnacle IDX30 ETF,FINANCE,Investment Fund/Mutual Fund
XPLC,Reksa Dana Pinnacle Indonesia Large-Cap ETF,FINANCE,Investment Fund/Mutual Fund
XPLQ,Reksa Dana Pinnacle Enhanced Liquid ETF,FINANCE,Investment Fund/Mutual Fund
XPMI,ETF Phillip MSCI Indonesia Equity Index,FINANCE,Investment Fund/Mutual Fund
XPSG,Reksa Dana Pinnacle Indonesia ESG ETF,FINANCE,Investment Fund/Mutual Fund
XPTD,Reksa Dana Indeks Panin ETF IDX30 Dinamis,FINANCE,Investment Fund/Mutual Fund
XSBC,Reksa Dana Indeks Simas ETF IDX30,FINANCE,Investment Fund/Mutual Fund
XSMU,RD Syailendra ETF MSCI Indonesia ESG Universal Index,FINANCE,Investment Fund/Mutual Fund
XSPI,DIRE Simas Plaza Indonesia,FINANCE,Investment Fund/Mutual Fund
XSRI,Reksa Dana Indeks STAR ETF SRI-KEHATI,FINANCE,Investment Fund/Mutual Fund
XSSI,Reksa Dana Syariah Indeks Simas ETF JII,FINANCE,Investment Fund/Mutual Fund
XSSK,Reksa Dana Indeks SAM ETF SRI-KEHATI,FINANCE,Investment Fund/Mutual Fund
YELO,Yelooo Integra Datanet Tbk.,TRADE,Others Trade, Service & Investment
YPAS,Yanaprima Hastapersada Tbk,BASIC-IND,Plastics
YULE,Yulie Sekuritas Indonesia Tbk.,FINANCE,Securities Company
ZBRA,Zebra Nusantara Tbk,TRADE,Wholesale (Durable Goods)
ZINC,Kapuas Prima Coal Tbk.,MINING,Metal & Mineral Mining
ZONE,Mega Perintis Tbk.,MISC-IND,Textile, Garment
